date|source|issue_title|related_content|keywords|description|source_url|image_url
2026-09-21|YouTube 반응|Stray Kids : SKZ-RECORD 관련 YouTube 화제 영상|Stray Kids : SKZ-RECORD|키즈,인기,Felix,다시,사랑한다,말할까,Cover,원곡,김동률,Stray,Kids,SKZ,RECORD,필릭스,스트레이,슼즈|"'Felix ""다시 사랑한다 말할까"" Cover (원곡 : 김동률) | [Stray Kids : SKZ-RECORD]' 영상이 공개 2일 기준 조회수 753,152회, 좋아요 149,802개, 댓글 12,138개를 기록. 일평균 조회수 약 376,576회. 채널: Stray Kids. 수집 경로: 한국 인기 영상. 영상 유형: 일반 영상."|https://www.youtube.com/watch?v=uvcpylgYDSU|https://i.ytimg.com/vi/uvcpylgYDSU/hqdefault.jpg
2026-09-21|YouTube 반응|KOR vs VIE 2차전 관련 YouTube 화제 영상|KOR vs VIE 2차전|인기,KOR,vs,VIE,2차전,한화생명,초청,리그,오브,레전드,국가대표,평가전,한국e스포츠협회,2026,아이치,나고야|"'KOR vs VIE 2차전 하이라이트 | 한화생명 초청 리그 오브 레전드 국가대표 평가전' 영상이 공개 2일 기준 조회수 174,343회, 좋아요 1,324개, 댓글 1,186개를 기록. 일평균 조회수 약 87,172회. 채널: 한국e스포츠협회. 수집 경로: 한국 인기 영상. 영상 유형: 일반 영상."|https://www.youtube.com/watch?v=DcST-XbCuCI|https://i.ytimg.com/vi/DcST-XbCuCI/hqdefault.jpg
2026-09-21|YouTube 반응|선공개 관련 YouTube 화제 영상|선공개|예능,넷플릭스,공개,리뷰,검색,공식채널,선공개,옵니다,진짜,크게,돌아온,기안장,2호점,대환장,시즌2,만남을|"'[선공개] 큰 거 옵니다🏠 진짜 크게 돌아온 기안장 2호점 | 대환장 기안장 시즌2 | 넷플릭스' 영상이 공개 2일 기준 조회수 488,382회, 좋아요 2,510개, 댓글 291개를 기록. 일평균 조회수 약 244,191회. 채널: Netflix Korea 넷플릭스 코리아. 수집 경로: 검색:한국 예능 리뷰 / 공식채널:Netflix Korea. 영상 유형: 일반 영상."|https://www.youtube.com/watch?v=SufTEG9VHTo|https://i.ytimg.com/vi/SufTEG9VHTo/hqdefault.jpg
2026-09-21|YouTube 반응|전생에 갱이었나... 왜 잘 싸우는 건데?! 관련 YouTube 화제 영상|전생에 갱이었나... 왜 잘 싸우는 건데?!|인기,전생에,갱이었나,싸우는,건데,강튜브,멤버십,가입하기,최저가로,즐기는,강지와,강동부의,시크릿,오마카세,https,www|'전생에 갱이었나... 왜 잘 싸우는 건데?!' 영상이 공개 2일 기준 조회수 366,180회, 좋아요 3,930개, 댓글 347개를 기록. 일평균 조회수 약 183,090회. 채널: 강 지. 수집 경로: 한국 인기 영상. 영상 유형: 일반 영상.|https://www.youtube.com/watch?v=-L1ezEDzA8A|https://i.ytimg.com/vi/-L1ezEDzA8A/hqdefault.jpg
2026-09-21|Netflix Top 10|Shelter 넷플릭스 한국 Top 10 1위|Shelter|OTT,넷플릭스,신작,랭킹,Shelter,Films|Netflix 공식 국가별 주간 Top 10에서 한국 1위. 카테고리: Films. 누적 Top 10 진입 3주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|Mousetrap: Limited Series 넷플릭스 한국 Top 10 1위|Mousetrap|OTT,넷플릭스,신작,랭킹,Mousetrap,Limited,Series,TV|Netflix 공식 국가별 주간 Top 10에서 한국 1위. 카테고리: TV. 누적 Top 10 진입 3주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|Four Hands, Two Sonatas: Limited Series 넷플릭스 한국 Top 10 2위|Four Hands, Two Sonatas|OTT,넷플릭스,신작,랭킹,Four,Hands,Two,Sonatas,Limited,Series,TV|Netflix 공식 국가별 주간 Top 10에서 한국 2위. 카테고리: TV. 누적 Top 10 진입 3주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|Vanishing Point 넷플릭스 한국 Top 10 2위|Vanishing Point|OTT,넷플릭스,신작,랭킹,Vanishing,Point,Films|Netflix 공식 국가별 주간 Top 10에서 한국 2위. 카테고리: Films. 누적 Top 10 진입 1주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|Troy 넷플릭스 한국 Top 10 3위|Troy|OTT,넷플릭스,신작,랭킹,Troy,Films|Netflix 공식 국가별 주간 Top 10에서 한국 3위. 카테고리: Films. 누적 Top 10 진입 1주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|I am Solo: Part 33 넷플릭스 한국 Top 10 3위|I am Solo|OTT,넷플릭스,신작,랭킹,am,Solo,Part,33,TV|Netflix 공식 국가별 주간 Top 10에서 한국 3위. 카테고리: TV. 누적 Top 10 진입 6주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
