date|video_id|view_count|like_count|comment_count
2026-07-31|QqIoKmvaUmw|3586|10|0
2026-07-31|V7MheadLhlI|0|0|0
2026-07-31|xT4s3wF6jOA|2|0|0
2026-07-31|usOrIHxGO1Y|6|0|0
2026-07-31|WvPJIQF6CfI|6023|142|7
2026-07-31|rZ5CyOvhseg|187149|842|22
2026-07-31|qwRkEI8PP4k|209|10|0
2026-07-31|hZ8nHkxEDwY|562|27|1
2026-07-31|a1GRR7Lb4cI|255|10|3
2026-07-31|vbe09_s015E|279|0|0
2026-07-31|J4PW9hnfRjM|8371|82|0
2026-07-31|eECxEGjnnms|5369|121|6
2026-07-31|HiMPAyuPLcM|12601|186|0
2026-07-31|L78g2pW_jMY|1226|11|2
2026-07-31|5t2H66JyqWQ|9|0|0
2026-07-31|p4xmVsOeVp8|2|0|0
2026-07-31|1HJNKnOcwas|50848|671|327
2026-07-31|eWZPQEHerU4|498308|3698|549
2026-07-31|_gJQREv6PVI|8777|583|127
2026-07-31|sPqymLzmkYM|1152|18|1
2026-07-31|Z_1S6t38Cxg|81|8|0
2026-07-31|aXCdxIML3XY|3775|26|0
2026-07-31|fTYj4nC7GEQ|5|1|0
2026-07-31|xznuE3AFFLw|1578|15|1
2026-07-31|BvvvZI-ADU8|1580|2|0
2026-07-31|7a4vkDAYmo8|20|1|1
2026-07-31|foFFEOdaudM|11|0|0
2026-07-31|HKj9yCm2R4A|497991|479|49
2026-07-31|_-v-l-EeAJg|26002|124|1
2026-07-31|NozTWTWfSZU|7|0|0
2026-07-31|Ar6pwU3Pon8|951|14|0
2026-07-31|bZjU-xuAxl4|10|0|0
2026-07-31|UO27FCuAwnM|273|3|2
2026-07-31|vJF4niz1IWQ|2104|0|6
2026-07-31|vnbVwdrKPpk|1323|140|8
2026-07-31|tNmU3lYr-l0|27|2|1
2026-07-31|78r6Rclx3W4|39|0|0
2026-07-31|b9ua7aW3WQ4|127|10|0
2026-07-31|lyZpnIrGgTc|1542|16|0
2026-07-31|tiZqIN4BOCo|18486|27|0
2026-07-31|HiR0CF4HKfI|6|0|0
2026-07-31|pLLIrFHldqI|27941|270|14
2026-07-31|Wz3XbgK4Vxw|1474|9|1
2026-07-31|FQqS9bcBcLs|24219|367|20
2026-07-31|Y6KeyW9uIGI|14707|1134|22
2026-07-31|UInOI4pn3Gc|5747|862|10
2026-07-31|9wapEdcN4xg|20865|1649|25
2026-07-31|8hqm56gUDeI|1592|0|1
2026-07-31|7Dpo2xt81Yw|28302|33|0
2026-07-31|oB8U3P-d-fc|9770|84|26
2026-07-31|Ht86AlJSbGo|2323|19|7
2026-07-31|AiInAQ0MSi0|25643|50|4
2026-07-31|1KvO-4GCZ6Y|14|5|0
2026-07-31|V0VJH5b5whs|1146|6|0
2026-07-31|B9Iqc2uipj8|3|0|0
2026-07-31|KpqG61jqrKk|31|1|0
2026-07-31|Jmjv8r7HX1o|6938|360|30
2026-07-31|x7IBEiEESm8|4716|8|0
2026-07-31|pMGj-GbLcMU|791|3|0
2026-07-31|XbzQB4eIM8o|1023|1|0
2026-07-31|_Vzv2YIjGns|281|3|0
2026-07-31|bDs28Xnp1Q0|1168|7|0
2026-07-31|8_P7D_c7Mjk|1293|8|0
2026-07-31|0FAbYWGd1v8|1098|9|1
2026-07-31|Zvw4JgD09R4|183|1|0
2026-07-31|MMJct8CxzTM|357|0|0
2026-07-31|kioNoVlDFVY|1893|7|1
2026-07-31|EH0DcZbejTs|49923|193|1
2026-07-31|4Rh79-I0m-M|1266|2|1
2026-07-31|Hq8-uA6cP9c|5396|58|1
2026-07-31|QyKeYV5CaSc|2910|23|1
2026-07-31|rZr6F_1hkQc|1421|14|0
2026-07-31|HbOO6U8qlkY|185|7|0
2026-07-31|8OnfJwfh8uI|432|0|0
2026-07-31|bjNRTQ1ZFrg|52179|514|11
2026-07-31|2qoP4Qnpvio|2933|12|2
2026-07-31|qtaZTJ9JZXA|2073|2|0
2026-07-31|4I9mCTVCYys|40|2|1
2026-07-31|pYkI3Oaky8Q|103278|949|221
2026-07-31|U93VLY76Kz4|250|3|0
2026-07-31|EstkQBLD6KI|7603|236|104
2026-07-31|mHSvAUOXV6Y|62|4|0
2026-07-31|yKfD-msNCYQ|1362|4|0
2026-07-31|1WykwOo2p9w|682|3|0
2026-07-31|K40aZOp7WDs|52018|281|6
2026-07-31|FaXsG2s5j0w|1|0|0
2026-07-31|Wr_AIrY-XZU|881|3|0
2026-07-31|FSK3803RwLk|3|0|0
2026-07-31|3DrpTvluGHw|1651|8|0
2026-07-31|bZ4IXDLPjG8|1463|4|0
2026-07-31|S6ZMtNoNN9s|21496|147|0
2026-07-31|m8qT37zZN7M|11088|46|0
2026-07-31|Siw7RmlxaFg|7|0|0
2026-07-31|JCNcm4xMo5Y|8723|42|0
2026-07-31|8vvOJojtRHA|1483|17|2
2026-07-31|CmZgzz3g104|55|1|0
2026-07-31|noatZ0FXkpE|2663|11|0
2026-07-31|P77T_9xtu84|2404|8|0
2026-07-31|YpESgFjFRJk|25818|198|6
2026-07-31|KJfo3jbrl90|993|5|0
2026-07-31|5hm47kgx6vo|67062|519|4
2026-07-31|tFgZjE7ZKpg|1404|7|0
2026-07-31|-uvMBIBxvVA|450|6|1
2026-07-31|amtc10DKX_4|484|2|0
2026-07-31|jyqhkGuBQE4|3389|27|1
2026-07-31|b6PpXzJ9GZk|17458|186|13
2026-07-31|hB75_VPuaZw|4658|14|1
2026-07-31|idA7mWsh8Us|844264|5210|260
2026-07-31|8ZIP5zIJ8AM|68572|1626|47
2026-07-31|0Z4kL0je8UQ|354651|2534|282
2026-07-31|cO3wiUvoI48|597436|4088|2075
